項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
1186	7985	13：東京都	明治大学和泉校地遺跡	杉並区永福	新教育棟地点　Ⅰ区NW(2A-3)　7層炭化材集中	炭化材	T	f	旧石器時代	----	A	PLD-2723	AMS法	25210	150	----	----	----	----	-25.4	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2012	明治大学和泉校地遺跡明大第2地点出土炭化材小片のAMS年代測定	83-86	----	明治大学校地内遺跡調査団調査研究報告書1　明治大学和泉校地遺跡Ⅱ−明大第2地点の発掘調査−	学校法人明治大学
1187	7988	13：東京都	明治大学和泉校地遺跡	杉並区永福	新教育棟地点　1B-1 Ⅵ層	炭化材(サクラ属)	T	f	旧石器時代	----	A	PLD-8900	AMS法	27370	90	----	----	-26.65	0.19	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2012	明治大学和泉校地遺跡明大第2地点出土炭化材小片のAMS年代測定	83-86	----	明治大学校地内遺跡調査団調査研究報告書1　明治大学和泉校地遺跡Ⅱ−明大第2地点の発掘調査−	学校法人明治大学
1188	7998	13：東京都	明治大学和泉校地遺跡	杉並区永福	新教育棟地点　7D-4　Ⅸ層	炭化材(コナラ節)	T	f	旧石器時代	----	A	PLD-8910	AMS法	27690	100	----	----	-25.48	0.22	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2012	明治大学和泉校地遺跡明大第2地点出土炭化材小片のAMS年代測定	83-86	----	明治大学校地内遺跡調査団調査研究報告書1　明治大学和泉校地遺跡Ⅱ−明大第2地点の発掘調査−	学校法人明治大学
1189	8000	13：東京都	明治大学和泉校地遺跡	杉並区永福	新教育棟地点　7D-4　Ⅸ層	炭化材(コナラ節)	T	f	旧石器時代	----	A	PLD-8912	AMS法	27950	100	----	----	-26.25	0.2	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2012	明治大学和泉校地遺跡明大第2地点出土炭化材小片のAMS年代測定	83-86	----	明治大学校地内遺跡調査団調査研究報告書1　明治大学和泉校地遺跡Ⅱ−明大第2地点の発掘調査−	学校法人明治大学
1190	7999	13：東京都	明治大学和泉校地遺跡	杉並区永福	新教育棟地点　7D-4　Ⅸ層	炭化材(コナラ節)	T	f	旧石器時代	----	A	PLD-8911	AMS法	27950	100	----	----	-26.3	0.19	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2012	明治大学和泉校地遺跡明大第2地点出土炭化材小片のAMS年代測定	83-86	----	明治大学校地内遺跡調査団調査研究報告書1　明治大学和泉校地遺跡Ⅱ−明大第2地点の発掘調査−	学校法人明治大学
1191	7984	13：東京都	明治大学和泉校地遺跡	杉並区永福	新教育棟地点　Ⅰ区NW(2A-3)　7層炭化材集中	炭化材	T	f	旧石器時代	----	A	PLD-2722	AMS法	24330	150	----	----	----	----	-27	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2012	明治大学和泉校地遺跡明大第2地点出土炭化材小片のAMS年代測定	83-86	----	明治大学校地内遺跡調査団調査研究報告書1　明治大学和泉校地遺跡Ⅱ−明大第2地点の発掘調査−	学校法人明治大学
1192	8062	13：東京都	明治大学西調布校地遺跡	調布市	T102　A3上層	炭化材	T	f	旧石器時代	----	A	PLD-3306	AMS法	26050	110	----	----	----	----	-23.5	パレオ･ラボ	パレオ･ラボ	2005	明治大学西調布校地試掘･確認調査における自然科学分析	15-19	----	シンポジウム｢立川ローム層下部の層序と石器群｣記録･コメント集	有限会社六一書房
1193	8061	13：東京都	明治大学西調布校地遺跡	調布市	T102　A2下層	炭化材	T	f	旧石器時代	----	A	PLD-3305	AMS法	22650	100	----	----	----	----	-27.6	パレオ･ラボ	パレオ･ラボ	2005	明治大学西調布校地試掘･確認調査における自然科学分析	15-19	----	シンポジウム｢立川ローム層下部の層序と石器群｣記録･コメント集	有限会社六一書房
1194	8060	13：東京都	明治大学西調布校地遺跡	調布市	T184　SX4210002 Ⅲ層	炭化材(トウヒ属またはカラマツ属)	T	f	旧石器時代	----	A	PLD-3304	AMS法	13920	50	----	----	----	----	-25.1	パレオ･ラボ	パレオ･ラボ	2005	明治大学西調布校地試掘･確認調査における自然科学分析	15-19	----	シンポジウム｢立川ローム層下部の層序と石器群｣記録･コメント集	有限会社六一書房
1195	8059	13：東京都	明治大学西調布校地遺跡	調布市	T184　SX4210002 Ⅲ層	炭化材(トウヒ属またはカラマツ属)	T	f	旧石器時代	----	A	PLD-3303	AMS法	13920	50	----	----	----	----	-24.3	パレオ･ラボ	パレオ･ラボ	2005	明治大学西調布校地試掘･確認調査における自然科学分析	15-19	----	シンポジウム｢立川ローム層下部の層序と石器群｣記録･コメント集	有限会社六一書房
1196	7071	13：東京都	春日町(小石川後楽園)遺跡	文京区後楽	第10地点　花粉試料No.10　16層	泥炭	T	j	不明	----	A,B,C,D,E,F,G,H	PLD-5966	AMS法	1320	20	1321	21	-26.25	0.15	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2007	放射性炭素年代測定	107-108	----	春日町(小石川後楽園)遺跡　第10地点	株式会社東京ドーム　共和開発株式会社
1197	7072	13：東京都	春日町(小石川後楽園)遺跡	文京区後楽	第10地点　花粉試料No.14　18層	生試料･材(トネリコ属)	T	d	不明	----	A,B,C,D,E,F,G,H	PLD-5967	AMS法	4465	25	4464	25	-28.62	0.13	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2007	放射性炭素年代測定	107-108	----	春日町(小石川後楽園)遺跡　第10地点	株式会社東京ドーム　共和開発株式会社
1198	7073	13：東京都	春日町(小石川後楽園)遺跡	文京区春日	第11地点　092号遺構　住居西側床面	炭化材(コナラ属コナラ亜属クヌギ節)	T	f	弥生時代後期〜古墳時代前期	----	C,D	IAAA-100347	AMS法	1790	20	1785	23	-27.33	0.45	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2011	春日町(小石川後楽園)遺跡第11地点に関する自然科学分析	96-97	----	春日町(小石川後楽園)遺跡　第11地点	学校法人中央大学
1199	7070	13：東京都	春日町(小石川後楽園)遺跡	文京区後楽	第10地点　花粉試料No.21(最下層)　貝層中　20層	生試料･種実(コナラ殻斗)	T	e	不明	----	A,B,C,D,E,F,G,H	PLD-5965	AMS法	6990	30	6990	28	-28.34	0.15	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2007	放射性炭素年代測定	107-108	----	春日町(小石川後楽園)遺跡　第10地点	株式会社東京ドーム　共和開発株式会社
1200	7076	13：東京都	春日町遺跡	文京区春日	第Ⅶ地点　8層最下部	自然木(モモ)	T	d	不明	----	A,B,C,D,E,F,G,H	PLD-1192	β線法	460	60	----	----	----	----	-28.1	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2004	放射性炭素年代測定	54-55	----	文京区埋蔵文化財調査報告第31集　春日町遺跡第Ⅶ地点	文京区遺跡調査会
1201	7077	13：東京都	春日町遺跡	文京区後楽	第Ⅴ地点　B地点　Ⅴ層	泥炭	T	j	不明	----	A,B,C,D,E,F,G,H	Gak-18382	β線法	4000	90	----	----	----	----	----	鈴木茂(パレオ･ラボ)	学習院大学理学部年代測定室	1996	春日町遺跡第Ⅴ地点周辺の古環境	83-85	----	文京区埋蔵文化財調査報告書第10集　春日町遺跡第Ⅴ地点	文京区遺跡調査会
1202	7078	13：東京都	春日町遺跡	文京区後楽	第Ⅴ地点　C地点　Ⅷ層	マガキ	M	n	不明	----	A,B,C,D,E,F,G,H	Gak-18383	β線法	5210	100	----	----	----	----	----	鈴木茂(パレオ･ラボ)	学習院大学理学部年代測定室	1996	春日町遺跡第Ⅴ地点周辺の古環境	83-85	----	文京区埋蔵文化財調査報告書第10集　春日町遺跡第Ⅴ地点	文京区遺跡調査会
1203	7075	13：東京都	春日町遺跡	文京区春日	第Ⅳ地点　北側調査区　19b層中央部	不明	O	r	不明	----	A,B,C,D,E,F,G,H	PLD-155	不明	1790	100	----	----	----	----	----	パレオ･ラボ	パレオ･ラボ	2000	自然科学分析	245-246	----	文京区埋蔵文化財調査報告第20集　春日町遺跡第Ⅲ･Ⅳ地点	文京区遺跡調査会
1204	7074	13：東京都	春日町遺跡	文京区春日	第Ⅳ地点　南側調査区19a層	材	T	d	不明	----	A,B,C,D,E,F,G,H	PLD-126	不明	5690	120	----	----	----	----	----	パレオ･ラボ	パレオ･ラボ	2000	自然科学分析	245-246	----	文京区埋蔵文化財調査報告第20集　春日町遺跡第Ⅲ･Ⅳ地点	文京区遺跡調査会
1205	8028	13：東京都	有楽町一丁目遺跡	千代田区有楽町	A区190号遺構外	ハマグリ	M	n	不明	----	A,B,C,D,E,F,G,H	IAAA-141613	AMS法	1000	20	996	23	1.19	0.53	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2015	有楽町一丁目遺跡の自然科学分析	310-314	----	有楽町一丁目遺跡	三井不動産株式会社　株式会社武蔵文化財研究所
1206	8027	13：東京都	有楽町一丁目遺跡	千代田区有楽町	B区南壁　	マガキ	M	n	不明	----	A,B,C,D,E,F,G,H	IAAA-141612	AMS法	5910	30	5914	30	0.81	0.52	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2015	有楽町一丁目遺跡の自然科学分析	310-314	----	有楽町一丁目遺跡	三井不動産株式会社　株式会社武蔵文化財研究所
1207	8026	13：東京都	有楽町一丁目遺跡	千代田区有楽町	B区南壁　	ハマグリ	M	n	不明	----	A,B,C,D,E,F,G,H	IAAA-141611	AMS法	1140	20	1142	24	2.57	0.48	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2015	有楽町一丁目遺跡の自然科学分析	310-314	----	有楽町一丁目遺跡	三井不動産株式会社　株式会社武蔵文化財研究所
1208	8004	13：東京都	木曽森野遺跡	町田市木曽町･森野	S2号集石土坑	炭化材	T	f	縄文時代	----	B	N-5356	β線法	4560	90	----	----	----	----	----	社団法人日本アイソトープ協会	社団法人日本アイソトープ協会	1993	S1〜5集石土坑内出土の14C試料の年代測定結果について	118	----	木曽森野遺跡Ⅱ−旧石器･縄文時代編−	町田木曽森野地区遺跡調査会
1209	8005	13：東京都	木曽森野遺跡	町田市木曽町･森野	S3号集石土坑	炭化材	T	f	縄文時代	----	B	N-5357	β線法	4490	115	----	----	----	----	----	社団法人日本アイソトープ協会	社団法人日本アイソトープ協会	1993	S1〜5集石土坑内出土の14C試料の年代測定結果について	118	----	木曽森野遺跡Ⅱ−旧石器･縄文時代編−	町田木曽森野地区遺跡調査会
1210	8006	13：東京都	木曽森野遺跡	町田市木曽町･森野	S4号集石土坑	炭化材	T	f	縄文時代	----	B	N-5358	β線法	4270	110	----	----	----	----	----	社団法人日本アイソトープ協会	社団法人日本アイソトープ協会	1993	S1〜5集石土坑内出土の14C試料の年代測定結果について	118	----	木曽森野遺跡Ⅱ−旧石器･縄文時代編−	町田木曽森野地区遺跡調査会
1211	8007	13：東京都	木曽森野遺跡	町田市木曽町･森野	S5号集石土坑	炭化材	T	f	縄文時代	----	B	N-5359	β線法	4590	90	----	----	----	----	----	社団法人日本アイソトープ協会	社団法人日本アイソトープ協会	1993	S1〜5集石土坑内出土の14C試料の年代測定結果について	118	----	木曽森野遺跡Ⅱ−旧石器･縄文時代編−	町田木曽森野地区遺跡調査会
1212	8003	13：東京都	木曽森野遺跡	町田市木曽町･森野	S1号集石土坑	炭化材	T	f	縄文時代	----	B	N-5355	β線法	4540	90	----	----	----	----	----	社団法人日本アイソトープ協会	社団法人日本アイソトープ協会	1993	S1〜5集石土坑内出土の14C試料の年代測定結果について	118	----	木曽森野遺跡Ⅱ−旧石器･縄文時代編−	町田木曽森野地区遺跡調査会
1213	7925	13：東京都	本所一丁目遺跡	墨田区本所	トレンチ2　9層	マガキ	M	n	弥生時代	----	C	Beta-371838	AMS法	2470	30	----	----	----	----	-1.4	吉川昌伸･吉川純子(古代の森研究舎)	地球科学研究所	2014	墨田区本所一丁目遺跡における環境変遷	158-163	----	本所一丁目遺跡−本所地域プラザ建設計画に伴う埋蔵文化財発掘調査報告書−	墨田区区民活動推進課　墨田区教育委員会
1214	7906	13：東京都	本郷一丁目南遺跡	文京区本郷	第073号遺構	炭化材(コナラ属コナラ亜属クヌギ節)	T	f	弥生時代中期後半〜後期初頭	----	C	IAAA-52738	AMS法	2060	40	2060	38	-28.43	0.74	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2006	本郷一丁目南遺跡から出土した炭化材の樹種	77-79	----	本郷一丁目南遺跡	学校法人桜蔭学園　加藤建設株式会社
1215	7910	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　表面フミン酸	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11630	AMS法	7160	80	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1216	7912	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　内部Et処理	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11702	AMS法	5720	80	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1217	7913	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　内部処理有	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11633	AMS法	6910	90	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1218	7914	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　内部フミン酸	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11618	AMS法	6330	90	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1219	7916	13：東京都	本郷元町遺跡	文京区本郷	TR2-3南壁	土壌	T	k	縄文時代前期以前	----	B	PAL-554	β線法	1740	210	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1220	7918	13：東京都	本郷元町遺跡	文京区本郷	TR2-4南壁	土壌	T	k	古墳時代以前	----	D	PAL-555	β線法	2570	260	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1221	7920	13：東京都	本郷元町遺跡	文京区本郷	Ⅱ区北壁	土壌	T	k	古墳時代以前	----	D	PAL-472	β線法	1770	230	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1222	7921	13：東京都	本郷元町遺跡	文京区本郷	Ⅱ区北壁	土壌	T	k	縄文時代前期以前	----	B	PAL-473	β線法	4050	250	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1223	7922	13：東京都	本郷元町遺跡	文京区本郷	Ⅱ区西壁	土壌	T	k	近世	----	G	PAL-468	β線法	1400	190	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1224	7924	13：東京都	本郷元町遺跡	文京区本郷	Ⅱ区西壁	土壌	T	k	縄文時代前期以前	----	B	PAL-470	β線法	4850	340	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1225	7923	13：東京都	本郷元町遺跡	文京区本郷	Ⅱ区西壁	土壌	T	k	古墳時代以前	----	D	PAL-469	β線法	1650	270	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1226	7919	13：東京都	本郷元町遺跡	文京区本郷	Ⅱ区北壁	土壌	T	k	近世	----	G	PAL-471	β線法	1450	370	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1227	7917	13：東京都	本郷元町遺跡	文京区本郷	TR2-4南壁	土壌	T	k	近世	----	G	PAL-553	β線法	1960	200	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1228	7915	13：東京都	本郷元町遺跡	文京区本郷	TR2-3南壁	土壌	T	k	古墳時代以前	----	D	PAL-552	β線法	2200	240	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	工芸高校(本郷元町)遺跡の自然科学分析	111-173	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1229	7911	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　内部処理無	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11623	AMS法	5690	80	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1230	7909	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　表面処理有	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11628	AMS法	7280	80	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1231	7908	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　表面Et処理	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11688	AMS法	5460	80	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1232	7907	13：東京都	本郷元町遺跡	文京区本郷	土器内部黒色部分　表面処理無	土器付着物	O	q	縄文時代	黒浜式期	B	Tka-11616	AMS法	5590	80	----	----	----	----	----	吉田邦夫、阿部直弘、菱木繁臣、宮崎ゆみ子、小原圭一、松崎浩之、中野忠一郎、春原陽子、小林紘一	東京大学原子力研究総合センター	2000	黒浜式土器の放射性炭素年代	91-104	----	本郷元町Ⅳ　都立工芸高等学校グラウンド地点埋蔵文化財発掘調査報告書　分析･各論編	都立学校遺跡調査会
1233	7902	13：東京都	本郷遺跡	葛飾区奥戸	第1号溝Bの2層	土壌	T	k	古墳時代後期頃	----	D	Gak-13917	β線法	1310	150	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	自然科学分析	45-51	----	葛飾区遺跡調査会調査報告第7集　本郷遺跡Ⅱ　葛飾区奥戸3丁目11番地点発掘調査報告書	葛飾区遺跡調査会
1234	7904	13：東京都	本郷遺跡	葛飾区奥戸	3号住居　柱穴	材(コナラ属コナラ亜属クヌギ節)	T	d	古墳時代後期	----	D	Gak-15631	β線法	1700	110	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査	268-321	----	葛飾区遺跡調査会調査報告第34集　本郷遺跡Ⅴ	葛飾区遺跡調査会
1235	7905	13：東京都	本郷遺跡	葛飾区奥戸	4号竪穴状遺構内	炭化材	T	f	古墳時代後期	----	D	Gak-15632	β線法	2150	170	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査	268-321	----	葛飾区遺跡調査会調査報告第34集　本郷遺跡Ⅴ	葛飾区遺跡調査会
1236	7903	13：東京都	本郷遺跡	葛飾区奥戸	3丁目27番地点西壁　最下層13層	カキ	M	n	不明	----	A,B,C,D,E,F,G,H	GaK-17969	β線法	3050	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査	268-321	----	葛飾区遺跡調査会調査報告第34集　本郷遺跡Ⅴ	葛飾区遺跡調査会
1237	7901	13：東京都	本郷遺跡	葛飾区奥戸･新小岩	A区1号土坑3層	材	T	d	奈良･平安時代	----	E	不明	β線法	1460	180	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	14C年代測定	48	----	葛飾区遺跡調査会調査報告第3集　本郷･正福寺･鬼塚遺跡	葛飾区遺跡調査会
1238	7134	13：東京都	杉並区No.182遺跡	杉並区和田	試料No.17	炭化材(コナラ節)	T	f	縄文時代	----	B	PLD-5429	AMS法	2955	25	2954	24	-26.91	0.11	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2006	杉並区No.182遺跡の自然科学分析	45-49	----	東京都埋蔵文化センター調査報告第188集　杉並区No.182遺跡	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1239	7584	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-6地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18255	β線法	1880	200	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1240	7585	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-11地区 木道構築材	木材	T	d	弥生時代	----	C	Gak-18256	β線法	1960	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1241	7586	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-11地区 木道構築材	木材	T	d	弥生時代	----	C	Gak-18257	β線法	1790	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1242	7588	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-11地区 木道構築材	木材	T	d	弥生時代	----	C	Gak-18259	β線法	2490	110	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1243	7589	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	D-15地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18260	β線法	27780	1100	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1244	7590	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	D-15地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18261	β線法	17780	360	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1245	7592	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	E-2地区	土壌	T	k	不明	----	A,B,C,D,E,F,G,H	Gak-18266	β線法	4700	100	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
